Rank,Wealth
1.000000000000000000e+00,1.565985496376004562e+02
2.000000000000000000e+00,4.179747357387831386e+01
3.000000000000000000e+00,3.474608007991513858e+01
4.000000000000000000e+00,3.248086013171061381e+01
5.000000000000000000e+00,2.910145776944467499e+01
6.000000000000000000e+00,2.866873014798053987e+01
7.000000000000000000e+00,2.549426736225203172e+01
8.000000000000000000e+00,2.549426736225203172e+01
9.000000000000000000e+00,2.295612187328563181e+01
1.000000000000000000e+01,2.211224320376930308e+01
1.100000000000000000e+01,2.124627026598406587e+01
1.200000000000000000e+01,1.937138148481119160e+01
1.300000000000000000e+01,1.875269270692437473e+01
1.400000000000000000e+01,1.842777784585656065e+01
1.500000000000000000e+01,1.801828850174491237e+01
1.600000000000000000e+01,1.783922615357987951e+01
1.700000000000000000e+01,1.735592708844763621e+01
1.800000000000000000e+01,1.701268131030391118e+01
1.900000000000000000e+01,1.684361249648669556e+01
2.000000000000000000e+01,1.590356439731944427e+01
2.100000000000000000e+01,1.562801440045259227e+01
2.200000000000000000e+01,1.524263288254108950e+01
2.300000000000000000e+01,1.524263288254108950e+01
2.400000000000000000e+01,1.509115447570455437e+01
2.500000000000000000e+01,1.486675474174084677e+01
2.600000000000000000e+01,1.479269879340635718e+01
2.700000000000000000e+01,1.471901174087858521e+01
2.800000000000000000e+01,1.468230597593873910e+01
2.900000000000000000e+01,1.464569174657230910e+01
3.000000000000000000e+01,1.457273698205589341e+01
3.100000000000000000e+01,1.457273698205589341e+01
3.200000000000000000e+01,1.417793341270755292e+01
3.300000000000000000e+01,1.410730869853551184e+01
3.400000000000000000e+01,1.407212837759153423e+01
3.500000000000000000e+01,1.407212837759153423e+01
3.600000000000000000e+01,1.396711292902032575e+01
3.700000000000000000e+01,1.372511447963628761e+01
3.800000000000000000e+01,1.342012447090405125e+01
3.900000000000000000e+01,1.328675780846025667e+01
4.000000000000000000e+01,1.328675780846025667e+01
4.100000000000000000e+01,1.318760331001676889e+01
4.200000000000000000e+01,1.299150865873274086e+01
4.300000000000000000e+01,1.270282033156792245e+01
4.400000000000000000e+01,1.254521905455315967e+01
4.500000000000000000e+01,1.217490758987363897e+01
4.600000000000000000e+01,1.208405044676374729e+01
4.700000000000000000e+01,1.187467851104185002e+01
4.800000000000000000e+01,1.184506584642578630e+01
4.900000000000000000e+01,1.163983463062234058e+01
5.000000000000000000e+01,1.149542159838666322e+01
5.100000000000000000e+01,1.149542159838666322e+01
5.200000000000000000e+01,1.132448904629918296e+01
5.300000000000000000e+01,1.121194841291976196e+01
5.400000000000000000e+01,1.118398844181522378e+01
5.500000000000000000e+01,1.115609819632441280e+01
5.600000000000000000e+01,1.101768678245331756e+01
5.700000000000000000e+01,1.096280424370825379e+01
5.800000000000000000e+01,1.055980600600877573e+01
5.900000000000000000e+01,1.055980600600877573e+01
6.000000000000000000e+01,1.048100180988505059e+01
6.100000000000000000e+01,1.045486464826439033e+01
6.200000000000000000e+01,1.032515329467717002e+01
6.300000000000000000e+01,1.032515329467717002e+01
6.400000000000000000e+01,9.995385566010702050e+00
6.500000000000000000e+01,9.676150054326027927e+00
6.600000000000000000e+01,9.603940278297015354e+00
6.700000000000000000e+01,9.508498133628167537e+00
6.800000000000000000e+01,9.204812973411479859e+00
6.900000000000000000e+01,9.158960925279300724e+00
7.000000000000000000e+01,9.022770655785640415e+00
7.100000000000000000e+01,8.933104065064604526e+00
7.200000000000000000e+01,8.844328563987563285e+00
7.300000000000000000e+01,8.669415496847214797e+00
7.400000000000000000e+01,8.647796006830139603e+00
7.500000000000000000e+01,8.267735479370792007e+00
7.600000000000000000e+01,8.185572285635709378e+00
7.700000000000000000e+01,8.104225614202482220e+00
7.800000000000000000e+01,8.084015575264322351e+00
7.900000000000000000e+01,8.063855935425758403e+00
8.000000000000000000e+01,7.943949461103704479e+00
8.100000000000000000e+01,7.924139113320403993e+00
8.200000000000000000e+01,7.924139113320403993e+00
8.300000000000000000e+01,7.865003991667369299e+00
8.400000000000000000e+01,7.865003991667369299e+00
8.500000000000000000e+01,7.671055669185594894e+00
8.600000000000000000e+01,7.632843745186256967e+00
8.700000000000000000e+01,7.519346258392665128e+00
8.800000000000000000e+01,7.333921738008448266e+00
8.900000000000000000e+01,7.153069723208918873e+00
9.000000000000000000e+01,7.153069723208918873e+00
9.100000000000000000e+01,7.099688826908959527e+00
9.200000000000000000e+01,6.959279259413557739e+00
9.300000000000000000e+01,6.941924448292826177e+00
9.400000000000000000e+01,6.737011788022545744e+00
9.500000000000000000e+01,6.720211259872863607e+00
9.600000000000000000e+01,6.686735788830033833e+00
9.700000000000000000e+01,6.587306567923525868e+00
9.800000000000000000e+01,6.473172889535161012e+00
9.900000000000000000e+01,6.173251378062794004e+00
1.000000000000000000e+02,5.961185328892685931e+00
